pl_name,hostname,disposition,disp_refname,discoverymethod,disc_facility,soltype,pl_refname,st_refname,sy_refname,rastr,decstr,rowupdate,pl_pubdate,releasedate,default_flag,sy_snum,sy_pnum,disc_year,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,ttv_flag,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masslim,st_logg,st_loggerr1,st_loggerr2,st_logglim,ra,dec,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,flux__sum_values,flux__median,flux__mean,flux__length,flux__standard_deviation,flux__variance,flux__root_mean_square,flux__maximum,flux__absolute_maximum,flux__minimum
EPIC 201176672.01,EPIC 201176672,CANDIDATE,Crossfield et al. 2016,Transit,K2,Published Candidate,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m35.97s,-04d39m23.19s,2016-07-18,2016-09,2016-07-18,1,1.0,0.0,2016.0,0.0,79.9999,0.0098,-0.0098,0.0,10.2,2.1,-2.1,0.0,0.91,0.19,-0.19,0.0,0.0,4542.0,130.0,-130.0,0.0,0.508,0.098,-0.098,0.0,0.88,0.0,4.747,0.097,-0.097,0.0,169.1498727,-4.6564416,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,13.9651,0.000401,-0.000401,3501.007466967253,0.9999750430568228,1.000002132809841,3501.0,0.0006065115264932,3.678562317691356e-07,1.0000023167375476,1.0029963697371849,1.0029963697371849,0.997925189935365
EPIC 201176672.02,EPIC 201176672,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h16m35.97s,-04d39m23.19s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2019.0,0.0,6.4099755,0.00041,-0.00041,0.0,30.0,8.3,-10.6,0.0,3.0,0.74,-0.946,0.0,0.0,5298.0,114.835,-111.925,0.0,0.707,0.05,-0.05,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,169.1498727,-4.6564416,333.46,7.579,-7.255,14.258,0.149,-0.149,11.604,0.023,-0.023,13.9651,0.000401,-0.000401,3501.007466967253,0.9999750430568228,1.000002132809841,3501.0,0.0006065115264932,3.678562317691356e-07,1.0000023167375476,1.0029963697371849,1.0029963697371849,0.997925189935365
EPIC 201180665.01,EPIC 201180665,CANDIDATE,Livingston et al. 2018,Transit,K2,Published Candidate,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h16m40.73s,-04d33m37.42s,2018-08-02,2018-08,2018-08-02,1,1.0,0.0,2018.0,0.0,17.77297,9e-05,-9e-05,0.0,26.44,0.65,-0.65,0.0,2.359,0.058,-0.058,0.0,0.0,5847.0,82.63,-157.44,0.0,1.25428,0.066004,-0.055051,0.0,1.06,0.0,4.26659,0.079353,-0.076592,0.0,184.1697015,-4.5603949,601.265,9.088,-8.827,13.327,0.08,-0.08,11.65,0.019,-0.019,13.0873,0.000521,-0.000521,297.56322271225133,0.9987119450908136,0.9853086844776534,302.0,0.031602300442713,0.0009987053932714,0.9858153524369334,1.0164158692320822,1.0164158692320822,0.8944603884739082
EPIC 201182911.01,EPIC 201182911,CANDIDATE,Vanderburg et al. 2016,Transit,K2,Published Candidate,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h30m50.50s,-04d30m27.33s,2015-12-05,2016-01,2015-12-05,1,1.0,0.0,2016.0,0.0,0.99656225,0.00041,-0.00041,0.0,32.8,0.24523316,-0.27,0.0,2.92622,0.02187824,-0.02408783,0.0,0.0,3727.0,114.835,-111.925,0.0,0.5,0.052,-0.045,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,172.7104166,-4.5075924,335.632,6.7025,-6.7025,16.226,0.286,-0.286,12.335,0.027,-0.027,15.4518,0.001097,-0.001097,3326.845033091141,1.0002834358902082,0.9987526367730836,3331.0,0.0157130298083831,0.0002468993057591,0.99887623295729,1.0384790666804655,1.0384790666804655,0.8884543171507571
EPIC 201197348.01,EPIC 201197348,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h48m22.77s,-04d09m51.86s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2016.0,0.0,14.9139,0.0018,-0.002,0.0,3.24,0.33,-0.56,0.0,0.289,0.029,-0.05,0.0,0.0,5298.0,114.835,-111.925,0.0,0.647,0.038,-0.024,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,177.0948891,-4.1644059,360.103,5.725,-5.552,15.537,0.046,-0.046,12.424,0.027,-0.027,15.0437,0.000289,-0.000289,3536.978640026219,1.0000322978284004,0.9999939609912974,3537.0,0.0014192531454449,2.014279490855275e-06,0.9999949681366178,1.006781540248363,1.006781540248363,0.99330917907404
EPIC 201231940.01,EPIC 201231940,CANDIDATE,Vanderburg et al. 2016,Transit,K2,Published Candidate,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h36m28.97s,-03d28m58.18s,2015-12-05,2016-01,2015-12-05,1,1.0,0.0,2016.0,0.0,0.57303573,0.00041,-0.00041,0.0,3.35,0.24523316,-0.27,0.0,0.29886698,0.02187824,-0.02408783,0.0,0.0,3570.0,114.835,-111.925,0.0,0.43,0.052,-0.045,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,174.1207146,-3.4828286,1138.64,340.67,-221.637,18.78,0.2,-0.2,15.155,0.159,-0.159,18.0887,0.002148,-0.002148,3538.6200217944247,1.0000027099171338,1.0001752464088256,3538.0,0.0064312329467077,4.136075721481988e-05,1.0001959229501836,1.0305715510073137,1.0305715510073137,0.9780097035815218
EPIC 201238110 b,EPIC 201238110,CONFIRMED,Heller et al. 2019,Transit,K2,Published Confirmed,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,<a refstr=HELLER_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019A&A...627A..66H/abstract target=ref>Heller et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,-03d23m22.06s,2019-06-03,2019-07,2019-06-13,1,1.0,1.0,2019.0,0.0,28.1656,0.0027,-0.0028,0.0,1.87,0.2,-0.45,0.0,0.16683023,0.0178428,-0.04014631,0.0,0.0,5298.0,114.835,-111.925,0.0,0.9,0.052,-0.045,0.0,0.41,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,179.7058532,-3.3894613,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,3537.1386031440497,1.0000109562383468,1.000039186639539,3537.0,0.0016069638278208,2.582332743924759e-06,1.0000404777544831,1.0076077371956271,1.0076077371956271,0.994088342603235
EPIC 201238110.01,EPIC 201238110,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h58m49.40s,-03d23m22.06s,2019-09-05,2019-09,2019-09-05,1,1.0,1.0,2016.0,0.0,7.90417,0.00091,-0.00148,0.0,2.06,0.53,-0.56,0.0,0.184,0.047,-0.05,0.0,0.0,5298.0,114.835,-111.925,0.0,0.374,0.089,-0.035,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,179.7058532,-3.3894613,159.259,1.414,-1.39,16.014,1.133,-1.133,11.933,0.024,-0.024,15.2612,0.000501,-0.000501,3537.1386031440497,1.0000109562383468,1.000039186639539,3537.0,0.0016069638278208,2.582332743924759e-06,1.0000404777544831,1.0076077371956271,1.0076077371956271,0.994088342603235
EPIC 201238163.01,EPIC 201238163,CANDIDATE,Vanderburg et al. 2016,Transit,K2,Published Candidate,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h33m03.07s,-03d23m19.39s,2015-12-05,2016-01,2015-12-05,1,1.0,0.0,2016.0,0.0,1.0829614,0.00041,-0.00041,0.0,1.56,0.24523316,-0.27,0.0,0.13917388,0.02187824,-0.02408783,0.0,0.0,3875.0,114.835,-111.925,0.0,0.56,0.052,-0.045,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,173.2627978,-3.3887192,299.406,4.528,-4.398,15.657,0.355,-0.355,12.282,0.024,-0.024,15.1848,0.000676,-0.000676,3538.081529482078,1.00001713549964,1.0000230439463194,3538.0,0.0008387188058125,7.03449235223606e-07,1.0000233956627704,1.00390318324346,1.00390318324346,0.9969908117333262
EPIC 201239401.01,EPIC 201239401,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m12.69s,-03d22m13.16s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2016.0,0.0,0.905655,4.9e-05,-5e-05,0.0,1.57,0.16,-0.26,0.0,0.14,0.014,-0.023,0.0,0.0,5298.0,114.835,-111.925,0.0,0.576,0.04,-0.028,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,173.0528796,-3.370321,190.075,1.555,-1.555,15.731,0.446,-0.446,11.735,0.026,-0.026,14.9247,0.000531,-0.000531,3529.0310705298707,1.0000049900985972,1.00000880434397,3529.0,0.0006048640815361,3.658605571325916e-07,1.0000089872726214,1.0027769163461704,1.0027769163461704,0.9978872052355504
EPIC 201247497.01,EPIC 201247497,CANDIDATE,Kruse et al. 2019,Transit,K2,Published Candidate,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h51m47.15s,-03d14m45.67s,2019-09-05,2019-09,2019-09-05,1,1.0,0.0,2016.0,0.0,2.75421,0.00012,-0.00012,0.0,8.4,1.2,-6.8,0.0,0.75,0.11,-0.61,0.0,0.0,5298.0,114.835,-111.925,0.0,0.89,0.063,-0.01,0.0,0.88,0.0,4.4805,0.0748335,-0.0753969999999999,0.0,177.9464521,-3.2460183,793.131,108.24,-85.595,17.3749,0.0461,-0.0461,13.748,0.057,-0.057,16.7664,0.000761,-0.000761,3543.9957846206494,0.999999121798337,0.999998810558874,3544.0,0.0041470701629599,1.7198190936512762e-05,1.0000074096275984,1.019353129849314,1.019353129849314,0.9835721721494824
